nivel_bot,equipo_bot,objetivo_bot,bloque_bot,grupo_muscular,patron_movimiento_1,clasificacion,short_youtube_url,ejercicio,categoria_movimiento,score_funcional,tipo_rutina
Principiante,Peso libre,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/E0WFCTnN728?si=YvTVZvOCRm_hjh2B,Medicine Ball V Up,Core,1,core_estabilidad
Principiante,Calistenia / barras,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/z2tctrNfTrY,Suspension Knee Tuck,Core,1,core_estabilidad
Intermedio,Calistenia / barras,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/nedEXGnhHak,Suspension Lateral Knee Tuck,Core,3,core_estabilidad
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Shoulders,Horizontal Pull,Sin clasificar,https://youtu.be/O0wf46CgVZg,Suspension Archer Row,Empuje,3,fuerza_hipertrofia
Intermedio,Peso libre,Core / estabilidad,Principal,Abdominals,Rotational,Grinds,https://youtu.be/saYKvqSscuY,Single Arm Dumbbell Turkish Get Up,Core,3,core_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Sin clasificar,Animal Flow,https://youtu.be/8y-C1wUb-3c,Bodyweight Bear Crawl,Core,1,core_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/Q8MnsYG5sbk?si=8Aln2doES1PVTKQP,Stability Ball Knee Tuck,Core,1,core_estabilidad
Avanzado,Calistenia / barras,Core / estabilidad,Principal avanzado,Abdominals,Hip Flexion,Calisthenics,https://youtu.be/IMWzJ7zkklA,Ring Hanging Leg Raise,Core,3,core_estabilidad
Avanzado,Otro equipo,Movilidad / estabilidad,Principal avanzado,Abdominals,Isometric Hold,Calisthenics,https://youtu.be/lLu9U0G7Ogw,Parallette L Sit,Core,-2,movilidad_estabilidad
Intermedio,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Calisthenics,https://youtu.be/R6SMJ-TzgZo,Bodyweight Standing Walkout Plank,Core,3,movilidad_estabilidad
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Back,Vertical Pull,Calisthenics,https://youtu.be/4vEoBieXyKk,Ring Eccentric Pull Up,Jalón,5,fuerza_hipertrofia
Avanzado,Peso libre,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Calisthenics,Sin dato,Barbell Climb,Core,3,movilidad_estabilidad
Avanzado,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Sin clasificar,https://youtu.be/8e1m4FNO7t8,Bodyweight Ipsilateral Bird Dog,Core,3,movilidad_estabilidad
Avanzado,Sin equipo,Condicion fisica / potencia,Principal avanzado,Adductors,Hip Adduction,Sin clasificar,Sin dato,Bodyweight Copenhagen Plank Knee to Elbow,General,3,potencia_funcional
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Biceps,Vertical Pull,Calisthenics,https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO,Ring Eccentric Chin Up,Jalón,5,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Shoulder External Rotation,Sin clasificar,https://youtu.be/HeY0G79zbGA?si=qV6g26pqatUMpDew,Single Arm Dumbbell Seated Shoulder External Rotation,Empuje,1,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Shoulder External Rotation,Sin clasificar,https://youtu.be/oYGHjG0jZuA,Double Dumbbell Seated Cuban Rotation,Empuje,1,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Shoulder External Rotation,Sin clasificar,https://youtu.be/_Cfrbn8dxH4,Double Dumbbell Cuban Rotation,Empuje,1,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Shoulders,Shoulder External Rotation,Sin clasificar,https://youtu.be/Ff4Dg3T4pNQ?si=xU9cm-kpyPdrIwA0,Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Empuje,1,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Glutes,Hip External Rotation,Bodybuilding,https://youtu.be/gnzypKUFU6Y,Miniband Fire Hydrant,Pierna,0,fuerza_hipertrofia
Principiante,Peso libre,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/vT8p57mXVDo?feature=shared,Medicine Ball Russian Twist,Core,3,core_estabilidad
Principiante,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Lateral Flexion,Calisthenics,https://youtu.be/_R389Jk0tIo,Bodyweight Side Plank,Core,3,movilidad_estabilidad
Principiante,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/3Mn_4KTDTi0?si=3zBBQ33AQDN7XPp4,Cable Reverse Crunch,Core,1,core_estabilidad
Intermedio,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/hUbRkz4AxkE,Cable Rope Half Kneeling High to Low Chop,Core,3,core_estabilidad
Intermedio,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/48LIxDpby_E?feature=shared,Cable Rope Half Kneeling Low to High Chop,Core,3,core_estabilidad
Avanzado,Accesorios funcionales,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Pierna,2,fuerza_hipertrofia
Intermedio,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/FFaeQW7hwYs?feature=shared,Cable Rope Staggered Stance High to Low Chop,Core,3,core_estabilidad
Intermedio,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,Sin dato,Cable Rope Staggered Stance Low to High Chop,Core,3,core_estabilidad
Intermedio,Peso libre,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/EVLXzqAzAHI,Single Arm Dumbbell Windmill,Core,3,core_estabilidad
Intermedio,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Front Rack Lateral Lunge,Pierna,2,fuerza_hipertrofia
Avanzado,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Calisthenics,https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J,Bodyweight Feet On Wall Mountain Climber,Core,3,movilidad_estabilidad
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR,Slider Double Kettlebell Suitcase Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Sin equipo,Movilidad / estabilidad,Principal,Abdominals,Isometric Hold,Sin clasificar,https://youtu.be/4xRpGgttca8,Bodyweight Hollow Body Hold,Core,-4,movilidad_estabilidad
Intermedio,Peso libre,Movilidad / estabilidad,Principal,Abdominals,Isometric Hold,Sin clasificar,https://youtu.be/Wo-pGZst6l0,Dumbbell Crush Grip Hollow Body Hold,Core,-4,movilidad_estabilidad
Avanzado,Calistenia / barras,Core / estabilidad,Principal avanzado,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/LXQTkeYPki8,Bar Inverted Hanging Crunch,Core,1,core_estabilidad
Avanzado,Sin equipo,Core / estabilidad,Principal avanzado,Abdominals,Rotational,Sin clasificar,Sin dato,Bodyweight Inverted Hanging Oblique Crunch,Core,3,core_estabilidad
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC,Slider Double Kettlebell Front Rack Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Hip Flexion,Sin clasificar,https://youtu.be/IUCoqgdvDxU?si=8xtgp1M-mJqke2mR,Bodyweight Supine Alternating Single Leg Raise,Core,1,core_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Hip Flexion,Sin clasificar,https://youtu.be/q0JVBRHoLz4,Bodyweight Supine Leg Raise,Core,1,core_estabilidad
Principiante,Otro equipo,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/q_c5MFYuza4,Miniband Bicycle Crunch,Core,3,core_estabilidad
Principiante,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Lateral Flexion,Calisthenics,https://youtu.be/7lfNb_zydvQ,Bodyweight Side Plank Reach Through,Core,3,movilidad_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/bT8NVeDvuQg?si=paUR-bam-jwd-xPx,Bodyweight Sit Up,Core,1,core_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/ZLyOWSPnVrM,Bodyweight Butterfly Sit Up,Core,1,core_estabilidad
Principiante,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/fjHQIVIPLHY,Slider Mountain Climber,Core,1,movilidad_estabilidad
Avanzado,Accesorios funcionales,Core / estabilidad,Principal avanzado,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/vB803WCcQDk?si=hXUn4t23jP7Bn6R8,Slider Pike,Core,1,core_estabilidad
Avanzado,Accesorios funcionales,Core / estabilidad,Principal avanzado,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/-ciDJCuTu3A?si=zpBNDJ0Pbp7YfJOm,Stability Ball Pike,Core,1,core_estabilidad
Intermedio,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/d64d_6PE9fY,Slider Wide Mountain Climber,Core,1,movilidad_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/O4d3kd1ZLyc?si=xAr_I7jNLwrDm7lL,Stability Ball Crunch,Core,1,core_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/fZZK29dMla0?si=BQpGveG4S8WqLjzv,Stability Ball Feet Elevated Oblique Crunch,Core,3,core_estabilidad
Principiante,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/gi38qGKDzXY?si=XCqiGVtu482eeeTP,Stability Ball Kneeling Rollout,Core,1,movilidad_estabilidad
Avanzado,Accesorios funcionales,Core / estabilidad,Principal avanzado,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/fv6mxdkTT60?si=1AhvmIbGHoW_9tm9,Stability Ball Single Leg Knee Tuck,Core,1,core_estabilidad
Avanzado,Accesorios funcionales,Core / estabilidad,Principal avanzado,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/7skasCMLRL8,Stability Ball Single Leg Pike,Core,1,core_estabilidad
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/k_kXBEjURUA,Double Dumbbell Z Press,Empuje,2,fuerza_hipertrofia
Intermedio,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Overhead Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Hamstrings,Hip Hinge,Bodybuilding,https://youtu.be/Cf3CaHui43A?si=dFPcP6jQEQECmXmY,Double Dumbbell Romanian Deadlift,Cadera,2,fuerza_hipertrofia
Intermedio,Peso libre,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Lateral Flexion,Sin clasificar,https://youtu.be/2WxwO9E93wI,Single Arm Dumbbell Side Plank,Core,1,movilidad_estabilidad
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/z4J188sFD4g,Bodyweight Single Leg Glute Bridge,Pierna,0,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/JpDDoINkrog,Dumbbell Glute Bridge,Pierna,0,fuerza_hipertrofia
Principiante,Sin equipo,Movilidad / estabilidad,Principal,Glutes,Isometric Hold,Bodybuilding,https://youtu.be/cRCXEFhpBEI?si=6A2YpBsXM9WqT6rW,Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Pierna,-3,movilidad_estabilidad
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Glutes,Hip External Rotation,Bodybuilding,https://youtu.be/vSpyJR3dA7s?si=voo83Swm5kMbYEwl,Miniband Side Lying Clamshell,Pierna,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/bDvFd4EZt8M,Miniband Ankle Side Lying Hip Abduction,General,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/NeO0w4Jv4rs?si=zFKHnPvts0-arQgk,Miniband Bench Seated Hip Abduction,General,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/oS3cYfl6Bns,Miniband Glute Bridge Hip Abduction,Pierna,0,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/4azLK_5vOqY?si=bceKCFzhvhSW5jXe,Stability Ball Hip Thrust,Pierna,0,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/x4lc8HocO1c,Stability Ball Dumbbell Hip Thrust,Pierna,0,fuerza_hipertrofia
Principiante,Sin equipo,Condicion fisica / potencia,Principal,Glutes,Hip Extension,Sin clasificar,https://youtu.be/7IVoH7E4rWo,Bodyweight Frog Pump,Pierna,3,potencia_funcional
Principiante,Peso libre,Condicion fisica / potencia,Principal,Glutes,Hip Extension,Sin clasificar,https://youtu.be/N6t2Fv0SKGc,Dumbbell Frog Pump,Pierna,3,potencia_funcional
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/qJxwJ1e1HxI?si=5y999i_uPybFFDol,Cable Glute Kickback,Pierna,0,fuerza_hipertrofia
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/I7Zwyzr8COk,Bodyweight Single Leg Foot Elevated Glute Bridge,Pierna,0,fuerza_hipertrofia
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/bZUGEwxZVks?si=GXDy3dTxYcWMuQpw,Suspension Feet Elevated Glute Bridge,Pierna,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/34fVGXqWWs8,Miniband Thigh Lateral Walk,General,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/N4tkpDMlqCQ,Miniband Ankle Lateral Walk,General,0,fuerza_hipertrofia
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/GxqfnFHLH6c,Miniband Feet Lateral Walk,General,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/pdP0uJXvc44?si=lpmJ6krZopavsZrJ,Miniband Standing Glute Kickback,Pierna,0,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/5S8SApGU_Lk,Barbell Hip Thrust,Pierna,0,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/BMIy2gtjsTI?si=JnJL8ZiliAOk_Ac1,Barbell Single Leg Hip Thrust,Pierna,0,fuerza_hipertrofia
Intermedio,Accesorios funcionales,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/LSUPiOJOA6M,Stability Ball Single Leg Foot Elevated Glute Bridge,Pierna,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/dZNkjqKNUUs,Miniband Standing Hip Abduction,General,0,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Abductors,Hip Abduction,Bodybuilding,https://youtu.be/3SOcMYQWbDU,Miniband 3 Way Cha Cha,General,0,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/5D-hSAvpFls?si=2EfexeMUADw51Wu2,Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Condicion fisica / potencia,Principal,Abductors,Hip Abduction,Sin clasificar,https://youtu.be/saVSMtIttZE?si=qgSuj5ww8uiz2Wkd,Cable Hip Abduction,General,3,potencia_funcional
Principiante,Otro equipo,Condicion fisica / potencia,Principal,Quadriceps,Hip Abduction,Sin clasificar,https://youtu.be/w5nYnnT1E9s,Miniband Wall Sit Hip Abduction,Pierna,-2,potencia_funcional
Avanzado,Accesorios funcionales,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Barbell Overhead Lateral Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/4DUIY95jX6Y,Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Trapezius,Scapular Elevation,Bodybuilding,Sin dato,Barbell Shrug,Jalón,0,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Shoulders,Shoulder External Rotation,Sin clasificar,https://youtu.be/l3prcz-3FbI?si=qvb-6gLh-aavLGWK,Cable Face Pull,Empuje,1,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Shoulders,Shoulder External Rotation,Sin clasificar,https://youtu.be/4UhV4cCkugM,Cable Seated Face Pull,Empuje,1,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/KLM1hUecXbY,Cable Guillotine Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/hBC7lPyEkVM,Cable Supine Bicep Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/xaMJYDzqTZg,Cable Straight Bar High Bicep Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/9Dd8iiEUs_Q?si=juy6zuf-MVn-W8j8,Double Dumbbell Spider Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/wtbHEt6Qi8g?si=wca7IhWcGWNDg2QX,EZ Bar Spider Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/uEjtuyC6-bc,Stability Ball Cable Preacher Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/fOV-z1wARvs?si=pxr3u-XyVhL6BlD3,Single Arm Dumbbell Standing Concentration Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/xUdw3EtnTLM?si=6zj86RhHEsTUIlf4,EZ Bar Wide Grip Bicep Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/shIYFhPQVSo,Single Arm Cable Standing High Bicep Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/QGK3RQ_Eexc?si=2Go8XA5nbKIfwUBr,EZ Bar Seated Overhead Tricep Extension,Empuje,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/99qXUnFuQdM,EZ Bar Overhead Tricep Extension,Empuje,-3,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/aea5BGj9a8Y,Barbell Thruster,Pierna,2,fuerza_hipertrofia
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Triceps,Horizontal Push,Calisthenics,https://youtu.be/XtU2VQVuLYs,Bodyweight Diamond Push Up,Empuje,5,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/fUW3C1lVWkk?si=uxeyIMMcnTpM46fm,EZ Bar Lying Tricep Extension,Empuje,-3,fuerza_hipertrofia
